chatId,authorName,avatar,content,attachments,date,referenceMessage,referenceMessageDate,referenceMessageAuthor
1408220809566097458,williampietri_01878,https://cdn.discordapp.com/avatars/1171915670187942090/null.png,"Worked on Derby Day to solve the startup problem. Turned out that the start button was working, but the S relay was sticking. I sanded the relevant surfaces with fine sandpaper and then readjusted the solenoids until it started reliably. The door button still sticks sometimes, so next that happens somebody should grab the sandpaper again and smooth the button shaft and the hole a bit.",,2025/08/21 17:46,,,
1408456277960691743,williampietri_01878,https://cdn.discordapp.com/avatars/1171915670187942090/null.png,"I'm very excited to make progress on Gorgar tomorrow, so I went to make sure the parts delivery I was expecting arrived. But I never completed the order! 💀",,2025/08/22 09:22,,,
1408456389550149744,williampietri_01878,https://cdn.discordapp.com/avatars/1171915670187942090/null.png,"I guess I'm going to pay up for Saturday delivery, because I really want to get that closer to working!",,2025/08/22 09:22,,,
1408929501949198367,william_pietri_95978,https://cdn.discordapp.com/avatars/1408520772284190831/8884ff26b7b9dd6ea78efa1b7800d838.png,"Workshop update:
* Ken and I got Trade Winds set up. It's very cool! There are a number of small things that need fixing, but it's playable.
* We also figured out the problem with Star Trek, which is a failed bridge rectifier. I have ordered one. I also ordered replacement pop bumper caps, as it has a mixed set.
* We hopefully fixed the problem with Eight Ball deluxe's 1-ball target.
All the details are in the maintenance log app.",,2025/08/23 16:42,,,
1408929899082678303,william_pietri_95978,https://cdn.discordapp.com/avatars/1408520772284190831/8884ff26b7b9dd6ea78efa1b7800d838.png,"Also, I have a friend coming to visit, so I'm going to take most of next Saturday off. (There's a guy in town that I'll give a tour to.) It'd be great if other folks could be present 9-5 so that any volunteers who show get let in and have guidance. Anybody game?",,2025/08/23 16:44,,,
1408984640613519472,.ignatzmouse,https://cdn.discordapp.com/avatars/596809495536074752/6f16cdfea048ba194897179323092e53.png,I'll be there,,2025/08/23 20:21,,,
1411352013568217128,william_pietri_95978,https://cdn.discordapp.com/avatars/1408520772284190831/8884ff26b7b9dd6ea78efa1b7800d838.png,The tools marked in green are new or newly mounted.,,2025/08/30 09:09,,,
1411352369652039852,william_pietri_95978,https://cdn.discordapp.com/avatars/1408520772284190831/8884ff26b7b9dd6ea78efa1b7800d838.png,"Last week we had trouble with rusty bolts. I checked the pinball forums and Project Farm and these were the top two rust removers. Along with the new wire brushes, they should help.",https://media.discordapp.net/attachments/1408180474853064798/1411352369471422655/PXL_20250830_140643998.jpg?ex=69339092&is=69323f12&hm=0ce453e3ea0fbb00dc9490eb2c427c74481516b43cd2e3bf082bc09f0e7b01e7&,2025/08/30 09:10,,,
1411352877024149717,william_pietri_95978,https://cdn.discordapp.com/avatars/1408520772284190831/8884ff26b7b9dd6ea78efa1b7800d838.png,"Please don't use them over or near anything sensitive, like playfields or electronics.",,2025/08/30 09:12,,,
1411352960218304512,william_pietri_95978,https://cdn.discordapp.com/avatars/1408520772284190831/8884ff26b7b9dd6ea78efa1b7800d838.png,,https://media.discordapp.net/attachments/1408180474853064798/1411352959920640152/PXL_20250830_140404479.jpg?ex=6933911f&is=69323f9f&hm=d55753e4f6709ed4c612607f6de70f959fec44f3104dd6880fe395b68d67e985&,2025/08/30 09:12,,,
1411353030691000341,william_pietri_95978,https://cdn.discordapp.com/avatars/1408520772284190831/8884ff26b7b9dd6ea78efa1b7800d838.png,Got parts for Star Trek.,,2025/08/30 09:13,,,
